2024-12-03T18:35:32.023+10:00  WARN 22089 --- [RecordsManagement] [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-03T20:34:38.181+10:00  INFO 30360 --- [RecordsManagement] [http-nio-8080-exec-7] c.m.r.controller.PriorSchoolController   : savePriorSchool(...) - studentId: 1
2024-12-03T20:34:38.186+10:00  INFO 30360 --- [RecordsManagement] [http-nio-8080-exec-7] c.m.r.controller.PriorSchoolController   : saved prior school information
2024-12-03T20:36:42.752+10:00  INFO 30360 --- [RecordsManagement] [http-nio-8080-exec-10] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 1
2024-12-03T20:36:44.902+10:00  INFO 30360 --- [RecordsManagement] [http-nio-8080-exec-7] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 1
2024-12-03T20:36:50.036+10:00  INFO 30360 --- [RecordsManagement] [http-nio-8080-exec-1] c.m.r.controller.PriorSchoolController   : savePriorSchool(...) - studentId: 1
2024-12-03T20:36:50.041+10:00  INFO 30360 --- [RecordsManagement] [http-nio-8080-exec-1] c.m.r.controller.PriorSchoolController   : saved prior school information
2024-12-03T20:36:56.265+10:00  INFO 30360 --- [RecordsManagement] [http-nio-8080-exec-4] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 1
2024-12-03T20:36:56.603+10:00  INFO 30360 --- [RecordsManagement] [http-nio-8080-exec-7] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 1
2024-12-03T20:36:56.848+10:00  INFO 30360 --- [RecordsManagement] [http-nio-8080-exec-9] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 1
2024-12-03T20:36:57.011+10:00  INFO 30360 --- [RecordsManagement] [http-nio-8080-exec-1] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 1
2024-12-03T20:36:57.186+10:00  INFO 30360 --- [RecordsManagement] [http-nio-8080-exec-2] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 1
2024-12-03T20:36:57.378+10:00  INFO 30360 --- [RecordsManagement] [http-nio-8080-exec-8] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 1
